PLL01,M'2UMU2M'UM'2
PLL02,M'2U'MU2M'U'M'2
PLL03,M'2UM'2U2M'2UM'2
PLL04,M'U(M'2U)(M'2U)M'U2M'2U'
PLL05,x'R2D2(R'U'R)D2(R'UR')x
PLL06,x'(RU'R)D2(R'UR)D2R'2x
PLL07,x'(RU'R'D)(RUR'D')(RUR'D)(RU'R'D')x
PLL08,(RUR'U')(R'F)(R2U'R'U')(RUR'F')
PLL09,(R'U'F')(RUR'U')(R'F)(R2U'R'U')(RUR'UR)
PLL10,(R'UR'd')(R'F'R2U')(R'UR'FRF)
PLL11,F(RU'R'U')(RUR'F')(RUR'U')(R'FRF')
PLL12,z(U'RD')(R2UR'U')(R2U)(DR')z'
PLL13,(RUR'F')(RUR'U')(R'F)(R2U'R'U')
PLL14,(R'U2)(RU'U')(R'FRUR'U')(R'F'R2U')
PLL15,(RU'R'U')(RURD)(R'U'RD')(R'U2R'U')
PLL16,(R'2u'RU'R)(UR'u)(R2fR'f')
PLL17,(RUR')y'(R2u'RU')(R'UR'uR2)
PLL18,(R2uR')(UR'U'Ru')(R'2F'UF)
PLL19,(R'd'F)(R2u)(R'U)(RU'Ru'R'2)
PLL20,(R'URU')(R'F'U')(FRUR'F)(R'F'RU'R)
PLL21,(RUR'U)(RUR'F')(RUR'U')(R'F)(R2U'R'U2)(RU'R')
